--- 0.1 0.05 0.01 0.001 0.1_diff 0.05_diff 0.01_diff 0.001_diff
SIM_495 852 430 89 6 17 10 31 59
SIM_496 949 510 108 20 -2 -4 -49 -38
SIM_497 816 408 72 3 34 13 53 95
SIM_498 914 477 98 11 8 5 -16 -3
SIM_499 807 382 70 8 36 8 79 104
SIM_500 881 457 92 8 14 8 4 30
SIM_501 891 485 103 10 3 6 -24 20
SIM_502 867 435 89 8 17 8 26 44
SIM_503 1085 580 145 16 -39 0 -119 -174
SIM_504 959 494 106 12 0 4 -33 -48
SIM_505 1023 538 89 10 17 6 -77 -112
SIM_506 888 461 109 10 -3 6 0 23
SIM_507 941 471 92 11 14 5 -10 -30
SIM_508 1000 499 119 12 -13 4 -38 -89
SIM_509 923 468 121 14 -15 2 -7 -12
SIM_510 874 433 93 17 13 -1 28 37
SIM_511 1062 574 139 13 -33 3 -113 -151
SIM_512 908 460 91 10 15 6 1 3
SIM_513 880 426 82 6 24 10 35 31
SIM_514 834 412 76 7 30 9 49 77
SIM_515 751 379 66 4 40 12 82 160
SIM_516 875 428 78 7 28 9 33 36
SIM_517 823 412 98 13 8 3 49 88
SIM_518 864 438 101 7 5 9 23 47
SIM_519 868 428 89 11 17 5 33 43
SIM_520 941 493 89 7 17 9 -32 -30
SIM_521 983 516 102 12 4 4 -55 -72
SIM_522 995 536 110 11 -4 5 -75 -84
SIM_523 886 436 79 7 27 9 25 25
SIM_524 1089 564 125 10 -19 6 -103 -178
SIM_525 1071 568 126 12 -20 4 -107 -160
SIM_526 974 472 113 10 -7 6 -11 -63
SIM_527 801 377 79 9 27 7 84 110
SIM_528 836 419 66 6 40 10 42 75
SIM_529 882 457 93 9 13 7 4 29
SIM_530 892 453 101 15 5 1 8 19
SIM_531 897 460 96 12 10 4 1 14
SIM_532 930 464 92 8 14 8 -3 -19
SIM_533 852 441 90 6 16 10 20 59
SIM_534 970 500 101 12 5 4 -39 -59
SIM_535 949 481 110 10 -4 6 -20 -38
SIM_536 845 427 91 6 15 10 34 66
SIM_537 922 467 98 4 8 12 -6 -11
SIM_538 818 400 77 5 29 11 61 93
SIM_539 864 401 86 13 20 3 60 47
SIM_540 798 423 83 5 23 11 38 113
SIM_541 749 363 75 10 31 6 98 162
SIM_542 804 401 81 10 25 6 60 107
SIM_543 939 474 82 10 24 6 -13 -28
